groupid,game,crc,grade,notes
0,2,0x80CCB8C4,0,RGB1
0,3,0x80CCB8C4,0,RGB1
1,3,0xB82408DD,0,RGB1
1,2,0xB82408DD,0,RGB1
2,3,0xD791C9AC,0,RGB1
2,2,0xD791C9AC,0,RGB1
3,3,0xC8C144ED,0,RGB1
3,2,0xC8C144ED,0,RGB1
4,3,0x6F954FAC,0,RGB1
4,2,0x6F954FAC,0,RGB1
5,2,0x3FD3029E,0,RGB1
5,3,0x3FD3029E,0,RGB1
6,2,0xC83B0809,0,RGB1
6,3,0xC83B0809,0,RGB1
7,2,0xEA6E223F,0,RGB1
7,3,0xEA6E223F,0,RGB1
8,3,0xF612CC9A,0,RGB1
8,2,0xF612CC9A,0,RGB1
9,1,0x548C83BB,0,RGB1
9,2,0x548C83BB,0,RGB1
10,2,0xA53DD44A,0,RGB1
10,1,0xA53DD44A,0,RGB1
11,2,0x515E8C95,0,RGB1
11,1,0x515E8C95,0,RGB1
12,1,0xEC508A94,0,RGB1
12,2,0xEC508A94,0,RGB1
13,1,0xD74C1EA0,0,RGB1
13,2,0xD74C1EA0,0,RGB1
14,2,0x6D40B658,0,RGB1
14,1,0x6D40B658,0,RGB1
15,2,0x7324EC93,0,RGB1
15,1,0x7324EC93,0,RGB1
16,2,0xC40BCBDE,0,RGB1
16,1,0xC40BCBDE,0,RGB1
17,2,0xED0E4E14,0,RGB1
17,1,0xED0E4E14,0,RGB1
18,1,0x8035073D,0,RGB1
18,2,0x8035073D,0,RGB1
19,1,0x643D52DA,0,RGB1
19,2,0x643D52DA,0,RGB1
20,2,0xAF470D3B,0,RGB1
20,1,0xAF470D3B,0,RGB1
21,2,0xE933D38D,0,RGB1
21,1,0xE933D38D,0,RGB1
22,1,0xE4B07D95,0,RGB1
22,2,0xE4B07D95,0,RGB1
23,1,0x609B013C,0,RGB1
23,2,0x609B013C,0,RGB1
24,1,0x2D7E2CF4,0,RGB1
24,2,0x2D7E2CF4,0,RGB1
25,2,0x1BAC5B89,0,RGB1
25,1,0x1BAC5B89,0,RGB1
26,1,0x4C50A64C,0,RGB1
26,2,0x4C50A64C,0,RGB1
27,2,0xBD7BA60D,0,RGB1
27,1,0xBD7BA60D,0,RGB1
28,1,0x6A2F21C1,0,RGB1
28,2,0x6A2F21C1,0,RGB1
29,2,0x9AD94FEA,0,RGB1
29,3,0x9AD94FEA,0,RGB1
30,3,0x7D97AB3A,0,RGB1
30,1,0x7D97AB3A,0,RGB1
30,2,0x7D97AB3A,0,RGB1
31,3,0x0A8FBC4F,0,RGB1
31,1,0x0A8FBC4F,0,RGB1
31,2,0x0A8FBC4F,0,RGB1
32,1,0x8321CEB7,0,RGB1
32,2,0x8321CEB7,0,RGB1
32,3,0x8321CEB7,0,RGB1
33,2,0xE36581E6,0,RGB1
33,3,0xE36581E6,0,RGB1
33,1,0xE36581E6,0,RGB1
34,2,0xDE8807BA,0,RGB1
34,3,0xDE8807BA,0,RGB1
34,1,0xDE8807BA,0,RGB1
35,2,0xFB3516E6,0,RGB1
35,1,0xFB3516E6,0,RGB1
36,2,0xCE1D2BB7,0,RGB1
36,3,0xCE1D2BB7,0,RGB1
36,1,0xCE1D2BB7,0,RGB1
37,3,0x3EEA458F,0,RGB1
37,2,0x3EEA458F,0,RGB1
38,1,0x1DBBF656,0,RGB1
38,3,0x1DBBF656,0,RGB1
38,2,0x1DBBF656,0,RGB1
39,3,0xCA64C451,0,RGB1
39,2,0xCA64C451,0,RGB1
39,1,0xCA64C451,0,RGB1
40,2,0x40197218,0,RGB1
40,1,0x40197218,0,RGB1
5643,2,0x27539E1B,0,RGB1
5643,3,0x27539E1B,0,RGB1
5644,3,0x412E8CC3,0,RGB1
5644,2,0x412E8CC3,0,RGB1
43,3,0x3DA8C0EA,0,RGB1
43,2,0x3DA8C0EA,0,RGB1
44,2,0xDADAC132,0,RGB1
44,1,0xDADAC132,0,RGB1
45,1,0x6D183D96,0,RGB1
45,2,0x6D183D96,0,RGB1
46,1,0x154FB844,0,RGB1
46,2,0x154FB844,0,RGB1
47,3,0xAC7D5730,0,RGB1
47,1,0xAC7D5730,0,RGB1
47,2,0xAC7D5730,0,RGB1
48,1,0x0ACAC111,0,RGB1
48,2,0x0ACAC111,0,RGB1
49,1,0xA412C0C1,0,RGB1
49,2,0xA412C0C1,0,RGB1
50,2,0xB0C81CD3,0,RGB1
50,1,0xB0C81CD3,0,RGB1
51,2,0x227ADBFA,0,RGB1
51,1,0x227ADBFA,0,RGB1
52,2,0xAFACBE58,0,RGB1
52,1,0xAFACBE58,0,RGB1
53,2,0x846EC70D,0,RGB1
53,3,0x846EC70D,0,RGB1
54,2,0x7AC69578,0,RGB1
54,3,0x7AC69578,0,RGB1
55,2,0xE4EFD35C,0,RGB1
55,3,0xE4EFD35C,0,RGB1
56,3,0xCD463843,0,RGB1
56,1,0xCD463843,0,RGB1
56,2,0xCD463843,0,RGB1
57,3,0x7B8CCBE3,0,RGB1
57,1,0x7B8CCBE3,0,RGB1
57,2,0x7B8CCBE3,0,RGB1
58,1,0xBAB69E9D,0,RGB1
58,2,0xBAB69E9D,0,RGB1
58,3,0xBAB69E9D,0,RGB1
59,1,0x5553BF0F,0,RGB1
59,2,0x5553BF0F,0,RGB1
59,3,0x5553BF0F,0,RGB1
60,1,0xB6C3D3EF,0,RGB1
60,2,0xB6C3D3EF,0,RGB1
60,3,0xB6C3D3EF,0,RGB1
3071,2,0x668DE029,1,RGB1
3071,3,0x668DE029,0,RGB1
62,3,0x287E2D02,0,RGB1
62,1,0x287E2D02,0,RGB1
62,2,0x287E2D02,0,RGB1
63,3,0x4CD90385,0,RGB1
63,1,0x4CD90385,0,RGB1
63,2,0x4CD90385,0,RGB1
64,3,0xFE8CADFE,0,RGB1
64,1,0xFE8CADFE,0,RGB1
64,2,0xFE8CADFE,0,RGB1
65,1,0xF03A3240,0,RGB1
65,2,0xF03A3240,0,RGB1
65,3,0xF03A3240,0,RGB1
66,2,0x9DE1BFC7,0,RGB1
66,3,0x9DE1BFC7,0,RGB1
67,2,0xF1907959,0,RGB1
67,3,0xF1907959,0,RGB1
68,3,0x31D26EBA,0,RGB1
68,2,0x31D26EBA,0,RGB1
69,2,0x67132C8B,0,RGB1
69,3,0x67132C8B,0,RGB1
70,2,0xBB0E79AA,0,RGB1
70,1,0xBB0E79AA,0,RGB1
70,3,0xBB0E79AA,0,RGB1
71,1,0x4F059423,0,RGB1
71,2,0x4F059423,0,RGB1
72,2,0x469DF9A9,0,RGB1
72,1,0x469DF9A9,0,RGB1
73,2,0x010AF22B,0,RGB1
73,1,0x010AF22B,0,RGB1
7152,3,0x5DFA648C,1,RGB1
7152,2,0x5DFA648C,0,RGB1
75,2,0xDFCE4655,0,RGB1
75,3,0xDFCE4655,0,RGB1
76,3,0xE8E23D70,0,RGB1
76,2,0xE8E23D70,0,RGB1
77,3,0x7ED38D99,0,RGB1
77,2,0x7ED38D99,0,RGB1
78,1,0x46280806,0,RGB1
78,2,0x46280806,0,RGB1
79,1,0x85F4D938,0,RGB1
79,2,0x85F4D938,0,RGB1
80,1,0x5C6ABD9A,0,RGB1
80,2,0x5C6ABD9A,0,RGB1
81,2,0x54147F63,0,RGB1
81,1,0x54147F63,0,RGB1
82,2,0x49167752,0,RGB1
82,1,0x49167752,0,RGB1
83,1,0x83D295C0,0,RGB1
